 EQUATION NUMBER
 ---------------------
     node   dof    eqn
      2      1      1
      2      2      2
      3      1      3
      3      2      4
      4      1      5
      4      2      6
      5      1      7
      5      2      8
      6      1      9
      6      2     10
      7      1     11
      7      2     12
      8      1     13
      8      2     14
      9      1     15
      9      2     16
     10      1     17
     10      2     18
     11      1     19
     11      2     20
     12      1     21
     12      2     22
     13      1     23
     13      2     24
     14      1     25
     14      2     26
     16      1     27
     16      2     28
     17      1     29
     17      2     30
     18      1     31
     18      2     32
     19      1     33
     19      2     34
     20      1     35
     20      2     36
     21      1     37
     21      2     38
     22      1     39
     22      2     40
     23      1     41
     23      2     42
     24      1     43
     24      2     44
     25      1     45
     25      2     46
     26      1     47
     26      2     48
     27      1     49
     27      2     50
     28      1     51
     28      2     52
     30      1     53
     30      2     54
     31      1     55
     31      2     56
     32      1     57
     32      2     58
     33      1     59
     33      2     60
     34      1     61
     34      2     62
     35      1     63
     35      2     64
     36      1     65
     36      2     66
     37      1     67
     37      2     68
     38      1     69
     38      2     70
     39      1     71
     39      2     72
     40      1     73
     40      2     74
     41      1     75
     41      2     76
     42      1     77
     42      2     78
     44      1     79
     44      2     80
     45      1     81
     45      2     82
     46      1     83
     46      2     84
     47      1     85
     47      2     86
     48      1     87
     48      2     88
     49      1     89
     49      2     90
     50      1     91
     50      2     92
     51      1     93
     51      2     94
     52      1     95
     52      2     96
     53      1     97
     53      2     98
     54      1     99
     54      2    100
     55      1    101
     55      2    102
     56      1    103
     56      2    104
     58      1    105
     58      2    106
     59      1    107
     59      2    108
     60      1    109
     60      2    110
     61      1    111
     61      2    112
     62      1    113
     62      2    114
     63      1    115
     63      2    116
     64      1    117
     64      2    118
     65      1    119
     65      2    120
     66      1    121
     66      2    122
     67      1    123
     67      2    124
     68      1    125
     68      2    126
     69      1    127
     69      2    128
     70      1    129
     70      2    130
     72      1    131
     72      2    132
     73      1    133
     73      2    134
     74      1    135
     74      2    136
     75      1    137
     75      2    138
     76      1    139
     76      2    140
     77      1    141
     77      2    142
     78      1    143
     78      2    144
     79      1    145
     79      2    146
     80      1    147
     80      2    148
     81      1    149
     81      2    150
     82      1    151
     82      2    152
     83      1    153
     83      2    154
     84      1    155
     84      2    156
     86      1    157
     86      2    158
     87      1    159
     87      2    160
     88      1    161
     88      2    162
     89      1    163
     89      2    164
     90      1    165
     90      2    166
     91      1    167
     91      2    168
     92      1    169
     92      2    170
     93      1    171
     93      2    172
     94      1    173
     94      2    174
     95      1    175
     95      2    176
     96      1    177
     96      2    178
     97      1    179
     97      2    180
     98      1    181
     98      2    182
    100      1    183
    100      2    184
    101      1    185
    101      2    186
    102      1    187
    102      2    188
    103      1    189
    103      2    190
    104      1    191
    104      2    192
    105      1    193
    105      2    194
    106      1    195
    106      2    196
    107      1    197
    107      2    198
    108      1    199
    108      2    200
    109      1    201
    109      2    202
    110      1    203
    110      2    204
    111      1    205
    111      2    206
    112      1    207
    112      2    208
    114      1    209
    114      2    210
    115      1    211
    115      2    212
    116      1    213
    116      2    214
    117      1    215
    117      2    216
    118      1    217
    118      2    218
    119      1    219
    119      2    220
    120      1    221
    120      2    222
    121      1    223
    121      2    224
    122      1    225
    122      2    226
    123      1    227
    123      2    228
    124      1    229
    124      2    230
    125      1    231
    125      2    232
    126      1    233
    126      2    234
    128      1    235
    128      2    236
    129      1    237
    129      2    238
    130      1    239
    130      2    240
    131      1    241
    131      2    242
    132      1    243
    132      2    244
    133      1    245
    133      2    246
    134      1    247
    134      2    248
    135      1    249
    135      2    250
    136      1    251
    136      2    252
    137      1    253
    137      2    254
    138      1    255
    138      2    256
    139      1    257
    139      2    258
    140      1    259
    140      2    260
    142      1    261
    142      2    262
    143      1    263
    143      2    264
    144      1    265
    144      2    266
    145      1    267
    145      2    268
    146      1    269
    146      2    270
    147      1    271
    147      2    272
    148      1    273
    148      2    274
    149      1    275
    149      2    276
    150      1    277
    150      2    278
    151      1    279
    151      2    280
    152      1    281
    152      2    282
    153      1    283
    153      2    284
    154      1    285
    154      2    286
    156      1    287
    156      2    288
    157      1    289
    157      2    290
    158      1    291
    158      2    292
    159      1    293
    159      2    294
    160      1    295
    160      2    296
    161      1    297
    161      2    298
    162      1    299
    162      2    300
    163      1    301
    163      2    302
    164      1    303
    164      2    304
    165      1    305
    165      2    306
    166      1    307
    166      2    308
    167      1    309
    167      2    310
    168      1    311
    168      2    312
    170      1    313
    170      2    314
    171      1    315
    171      2    316
    172      1    317
    172      2    318
    173      1    319
    173      2    320
    174      1    321
    174      2    322
    175      1    323
    175      2    324
    176      1    325
    176      2    326
    177      1    327
    177      2    328
    178      1    329
    178      2    330
    179      1    331
    179      2    332
    180      1    333
    180      2    334
    181      1    335
    181      2    336
    182      1    337
    182      2    338
    184      1    339
    184      2    340
    185      1    341
    185      2    342
    186      1    343
    186      2    344
    187      1    345
    187      2    346
    188      1    347
    188      2    348
    189      1    349
    189      2    350
    190      1    351
    190      2    352
    191      1    353
    191      2    354
    192      1    355
    192      2    356
    193      1    357
    193      2    358
    194      1    359
    194      2    360
    195      1    361
    195      2    362
    196      1    363
    196      2    364
 
 STRAIN ENERGY =   0.103067E+02
 
 DISPLACEMENT 
 ------------------------------
   Node      Dx         Dy     
    1    0.000E+00  0.000E+00
    2    1.521E-01  3.072E-01
    3    3.961E-01  6.904E-01
    4    7.058E-01  1.176E+00
    5    1.040E+00  1.821E+00
    6    1.343E+00  2.684E+00
    7    1.556E+00  3.808E+00
    8    1.619E+00  5.221E+00
    9    1.476E+00  6.939E+00
   10    1.078E+00  8.972E+00
   11    3.780E-01  1.132E+01
